STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTSairports,NUMPOINTSfortune
06,26,0626,Congressional District 26,C2,116,G5200,N,-1863415816,807884720,+34.1670228,-119.1299548,3,1
06,44,0644,Congressional District 44,C2,116,G5200,N,205463239,66957266,+33.8187502,-118.2509834,1,0
06,19,0619,Congressional District 19,C2,116,G5200,N,-1922776672,15265440,+37.2162355,-121.5290231,3,0
19,04,1904,Congressional District 4,C2,116,G5200,N,2147483647,264712627,+42.6286385,-094.6450983,51,0
19,02,1902,Congressional District 2,C2,116,G5200,N,2147483647,434115836,+41.2085154,-092.1491879,25,0
27,01,2701,Congressional District 1,C2,116,G5200,N,2147483647,540782812,+43.8989394,-093.7117418,24,1
27,03,2703,Congressional District 3,C2,116,G5200,N,1365425974,144398952,+44.9958803,-093.5286204,1,4
27,04,2704,Congressional District 4,C2,116,G5200,N,861318818,84495478,+45.0027128,-092.9773663,2,4
27,05,2705,Congressional District 5,C2,116,G5200,N,351540886,16573581,+44.9809623,-093.2941451,2,7
06,49,0649,Congressional District 49,C2,116,G5200,N,1433319197,511621679,+33.3147856,-117.3795192,2,0
06,05,0605,Congressional District 5,C2,116,G5200,N,2147483647,319288355,+38.5157184,-122.4624656,6,0
06,24,0624,Congressional District 24,C2,116,G5200,N,2147483647,-610599315,+34.9196335,-120.1128450,8,0
31,03,3103,Congressional District 3,C2,116,G5200,N,2147483647,1071218403,+41.5394730,-100.2229693,66,0
31,02,3102,Congressional District 2,C2,116,G5200,N,1312946783,50712484,+41.2286220,-096.1609050,3,5
06,29,0629,Congressional District 29,C2,116,G5200,N,238354217,1621914,+34.2666953,-118.4303132,2,0
06,07,0607,Congressional District 7,C2,116,G5200,N,1421720505,13173746,+38.4794773,-121.2153712,2,0
06,06,0606,Congressional District 6,C2,116,G5200,N,453544934,10601204,+38.5940335,-121.4797679,3,0
06,39,0639,Congressional District 39,C2,116,G5200,N,531445171,1078797,+33.9386493,-117.8258358,1,0
17,14,1714,Congressional District 14,C2,116,G5200,N,-158203347,63294101,+42.0255473,-088.4458531,5,0
47,01,4701,Congressional District 1,C2,116,G5200,N,2147483647,204163863,+36.2125013,-082.7999170,8,1
47,03,4703,Congressional District 3,C2,116,G5200,N,2147483647,372167533,+35.7616459,-084.5094443,8,1
47,05,4705,Congressional District 5,C2,116,G5200,N,-1062506936,72095867,+36.1873306,-087.0740252,3,3
47,04,4704,Congressional District 4,C2,116,G5200,N,2147483647,242150169,+35.5358725,-087.2770081,12,0
06,11,0611,Congressional District 11,C2,116,G5200,N,1268371789,101766052,+37.9038693,-122.0009326,2,0
41,01,4101,Congressional District 1,C2,116,G5200,N,2147483647,771013213,+45.7211995,-123.3412706,10,1
41,03,4103,Congressional District 3,C2,116,G5200,N,-1512096213,82267862,+45.3899979,-122.1990897,5,0
41,05,4105,Congressional District 5,C2,116,G5200,N,2147483647,1207538177,+45.0283647,-123.1951639,12,0
23,01,2301,Congressional District 1,C2,116,G5200,N,2147483647,2147483647,+43.8460537,-069.9152497,12,0
23,02,2302,Congressional District 2,C2,116,G5200,N,2147483647,2147483647,+45.5100010,-069.0853097,38,0
47,07,4707,Congressional District 7,C2,116,G5200,N,2147483647,415476120,+35.6333893,-087.8333421,14,3
47,02,4702,Congressional District 2,C2,116,G5200,N,2147483647,278544192,+36.0503605,-083.8211884,3,0
17,05,1705,Congressional District 5,C2,116,G5200,N,247592486,1850633,+41.9303655,-087.8309020,1,4
17,16,1716,Congressional District 16,C2,116,G5200,N,2147483647,183129836,+41.3915234,-088.7991966,13,0
17,13,1713,Congressional District 13,C2,116,G5200,N,2147483647,216308900,+39.5156354,-089.5198424,6,1
17,ZZ,17ZZ,Congressional Districts not defined,00,116,G5200,F,922,-224777365,+41.7736686,-087.5663499,0,0
06,50,0650,Congressional District 50,C2,116,G5200,N,2147483647,40261060,+33.1135481,-116.6225898,5,0
06,23,0623,Congressional District 23,C2,116,G5200,N,2147483647,99793011,+35.6106838,-118.5390568,13,0
06,08,0608,Congressional District 8,C2,116,G5200,N,2147483647,444227838,+35.6625568,-116.8195456,21,0
17,17,1717,Congressional District 17,C2,116,G5200,N,2147483647,346793272,+41.3894669,-090.2186532,16,2
17,06,1706,Congressional District 6,C2,116,G5200,N,980857787,27754091,+42.0671182,-088.4044355,2,3
17,03,1703,Congressional District 3,C2,116,G5200,N,613376406,13496849,+41.6789774,-087.8919745,2,0
17,10,1710,Congressional District 10,C2,116,G5200,N,777404163,31605644,+42.2800147,-087.9399419,3,13
17,04,1704,Congressional District 4,C2,116,G5200,N,135804048,966145,+41.8862970,-087.9205610,0,0
13,03,1303,Congressional District 3,C2,116,G5200,N,2147483647,215086398,+33.1505217,-084.7286640,12,0
13,10,1310,Congressional District 10,C2,116,G5200,N,2147483647,459100029,+33.4242062,-083.0623090,11,0
13,04,1304,Congressional District 4,C2,116,G5200,N,1287444270,21757037,+33.6976377,-084.0514329,1,0
13,05,1305,Congressional District 5,C2,116,G5200,N,686276539,5016095,+33.7069846,-084.4011185,2,5
13,13,1313,Congressional District 13,C2,116,G5200,N,1849961415,25795622,+33.6291014,-084.5664533,0,0
13,09,1309,Congressional District 9,C2,116,G5200,N,2147483647,410740104,+34.5061129,-083.6870501,10,0
06,51,0651,Congressional District 51,C2,116,G5200,N,2147483647,869815412,+32.9955751,-115.5255338,8,0
06,28,0628,Congressional District 28,C2,116,G5200,N,565796768,2403435,+34.2500576,-118.2914520,1,2
06,01,0601,Congressional District 1,C2,116,G5200,N,2147483647,1948066307,+40.7319880,-121.5105160,32,0
13,07,1307,Congressional District 7,C2,116,G5200,N,1017219867,25241077,+34.0401920,-084.0829587,1,3
13,02,1302,Congressional District 2,C2,116,G5200,N,2147483647,438955826,+31.8162371,-084.4190306,16,1
13,06,1306,Congressional District 6,C2,116,G5200,N,774251171,13986249,+34.0130516,-084.3456624,1,4
13,14,1314,Congressional District 14,C2,116,G5200,N,2147483647,51880746,+34.4305862,-085.0978762,6,1
21,02,2102,Congressional District 2,C2,116,G5200,N,2147483647,388832054,+37.5446206,-085.9904901,10,0
21,06,2106,Congressional District 6,C2,116,G5200,N,2147483647,115148400,+38.0534473,-084.1547782,8,0
22,01,2201,Congressional District 1,C2,116,G5200,N,2147483647,2147483647,+29.6364920,-089.9053610,5,0
22,03,2203,Congressional District 3,C2,116,G5200,N,2147483647,2147483647,+29.9270215,-092.4364185,14,0
22,05,2205,Congressional District 5,C2,116,G5200,N,2147483647,1118524221,+31.7664463,-091.8235236,27,1
18,03,1803,Congressional District 3,C2,116,G5200,N,2147483647,135299678,+41.0967951,-085.2362774,10,2
18,05,1805,Congressional District 5,C2,116,G5200,N,2147483647,40864910,+40.2486316,-085.8695988,8,0
18,04,1804,Congressional District 4,C2,116,G5200,N,2147483647,70295098,+40.3810879,-086.8594124,17,0
18,07,1807,Congressional District 7,C2,116,G5200,N,787296961,4586270,+39.7468732,-086.1390065,3,3
13,01,1301,Congressional District 1,C2,116,G5200,N,2147483647,2075874473,+31.3174384,-081.9425449,12,0
17,11,1711,Congressional District 11,C2,116,G5200,N,725929838,16218367,+41.6422523,-088.1474167,2,0
17,09,1709,Congressional District 9,C2,116,G5200,N,272986457,1558240,+42.0526844,-087.8101853,0,0
17,15,1715,Congressional District 15,C2,116,G5200,N,2147483647,353131952,+38.9051694,-088.4420793,26,0
47,08,4708,Congressional District 8,C2,116,G5200,N,2147483647,387103686,+35.8508609,-089.1018305,12,2
06,40,0640,Congressional District 40,C2,116,G5200,N,149408223,1743216,+33.9698668,-118.1792067,0,0
06,12,0612,Congressional District 12,C2,116,G5200,N,100885569,211661576,+37.7855141,-122.4340005,0,6
06,45,0645,Congressional District 45,C2,116,G5200,N,856078764,5161857,+33.7142584,-117.6683553,0,1
19,03,1903,Congressional District 3,C2,116,G5200,N,2147483647,156751435,+41.2095427,-094.6403809,17,2
13,11,1311,Congressional District 11,C2,116,G5200,N,-1521864120,70586962,+34.1804322,-084.6514936,3,4
13,12,1312,Congressional District 12,C2,116,G5200,N,2147483647,310156061,+32.4133308,-082.2238419,17,0
13,08,1308,Congressional District 8,C2,116,G5200,N,2147483647,298759475,+31.7798073,-083.4515115,15,0
06,04,0604,Congressional District 4,C2,116,G5200,N,2147483647,858297386,+37.9824523,-119.9279734,12,0
06,22,0622,Congressional District 22,C2,116,G5200,N,-1277607842,10371897,+36.4768778,-119.3895422,7,0
06,09,0609,Congressional District 9,C2,116,G5200,N,-1055257452,140669213,+38.0104060,-121.3065618,4,0
47,09,4709,Congressional District 9,C2,116,G5200,N,1252797745,53745455,+35.1676342,-089.9788605,4,1
47,06,4706,Congressional District 6,C2,116,G5200,N,2147483647,324676580,+36.1947713,-085.7784340,13,0
16,01,1601,Congressional District 1,C2,116,G5200,N,2147483647,1310417824,+45.2967502,-116.0358424,62,0
16,02,1602,Congressional District 2,C2,116,G5200,N,2147483647,1081304733,+43.4439256,-113.3642618,57,2
06,41,0641,Congressional District 41,C2,116,G5200,N,820299648,4159166,+33.9180748,-117.2974203,4,0
06,27,0627,Congressional District 27,C2,116,G5200,N,1812584403,7549848,+34.2650833,-117.9348875,0,1
06,17,0617,Congressional District 17,C2,116,G5200,N,480149991,21997291,+37.4410278,-121.9665776,0,11
06,14,0614,Congressional District 14,C2,116,G5200,N,672683232,827165077,+37.5748023,-122.4936563,3,6
41,04,4104,Congressional District 4,C2,116,G5200,N,2147483647,-2067550138,+43.4720025,-123.2731321,24,0
41,02,4102,Congressional District 2,C2,116,G5200,N,2147483647,1904150525,+43.8374944,-119.5968497,43,1
21,01,2101,Congressional District 1,C2,116,G5200,N,2147483647,1221417588,+37.0846029,-087.1849382,22,0
21,03,2103,Congressional District 3,C2,116,G5200,N,827821298,40946491,+38.1894013,-085.6974571,2,3
21,05,2105,Congressional District 5,C2,116,G5200,N,2147483647,312392707,+37.3688281,-083.5218984,13,0
21,04,2104,Congressional District 4,C2,116,G5200,N,2147483647,296600515,+38.5689729,-084.4370062,4,0
17,12,1712,Congressional District 12,C2,116,G5200,N,2147483647,462200658,+37.9933075,-089.4278909,11,0
17,08,1708,Congressional District 8,C2,116,G5200,N,532623690,10394846,+42.0096620,-088.0966499,1,2
06,02,0602,Congressional District 2,C2,116,G5200,N,2147483647,-172942708,+40.0940587,-123.4649741,27,0
06,38,0638,Congressional District 38,C2,116,G5200,N,262655737,3823181,+33.9394788,-118.0626041,0,0
01,01,0101,Congressional District 1,C2,116,G5200,N,2147483647,-2019292205,+31.0020519,-087.7879717,14,0
01,03,0103,Congressional District 3,C2,116,G5200,N,2147483647,471223121,+33.1505639,-085.7002277,12,0
01,05,0105,Congressional District 5,C2,116,G5200,N,2147483647,459955499,+34.7552973,-086.7118036,9,0
01,04,0104,Congressional District 4,C2,116,G5200,N,2147483647,573214646,+34.1181796,-087.2138079,15,0
01,07,0107,Congressional District 7,C2,116,G5200,N,2147483647,332882012,+32.4492349,-087.6405014,15,1
01,02,0102,Congressional District 2,C2,116,G5200,N,2147483647,303582941,+31.7020846,-086.0768417,19,0
01,06,0106,Congressional District 6,C2,116,G5200,N,2147483647,176793844,+33.2602125,-086.7134302,5,0
12,13,1213,Congressional District 13,C2,116,G5200,N,470709134,640204070,+27.8259163,-082.7264422,3,3
12,26,1226,Congressional District 26,C2,116,G5200,N,2147483647,2147483647,+25.1707427,-081.0952687,4,0
12,22,1222,Congressional District 22,C2,116,G5200,N,424130319,254083069,+26.2721076,-080.1252119,2,2
12,09,1209,Congressional District 9,C2,116,G5200,N,2147483647,798928316,+28.0353419,-081.2906169,6,0
12,19,1219,Congressional District 19,C2,116,G5200,N,1937060134,1603487946,+26.4316252,-081.9067678,4,1
29,01,2901,Congressional District 1,C2,116,G5200,N,582542737,28225242,+38.7283860,-090.2962282,1,3
29,03,2903,Congressional District 3,C2,116,G5200,N,2147483647,368043248,+38.5781714,-091.5631850,13,0
29,05,2905,Congressional District 5,C2,116,G5200,N,2147483647,89873789,+39.1414460,-093.7839363,8,0
29,04,2904,Congressional District 4,C2,116,G5200,N,2147483647,744247785,+38.2824253,-093.3189947,22,0
29,07,2907,Congressional District 7,C2,116,G5200,N,2147483647,248542030,+36.9910613,-093.7063517,14,1
29,02,2902,Congressional District 2,C2,116,G5200,N,1206284592,37571451,+38.6029696,-090.5323369,2,6
29,06,2906,Congressional District 6,C2,116,G5200,N,2147483647,528128323,+39.9480143,-093.2935421,26,0
29,08,2908,Congressional District 8,C2,116,G5200,N,2147483647,444793592,+37.1941281,-090.9345152,38,0
28,01,2801,Congressional District 1,C2,116,G5200,N,2147483647,408680692,+34.1975177,-089.0035117,22,0
28,03,2803,Congressional District 3,C2,116,G5200,N,2147483647,341749292,+32.0149304,-089.7405887,18,0
28,04,2804,Congressional District 4,C2,116,G5200,N,2147483647,-2076651865,+30.9941864,-089.0903341,15,0
28,02,2802,Congressional District 2,C2,116,G5200,N,2147483647,958174343,+33.1782150,-090.3514005,24,0
34,01,3401,Congressional District 1,C2,116,G5200,N,907100845,51162830,+39.7919748,-075.0559210,3,1
34,03,3403,Congressional District 3,C2,116,G5200,N,-1968134305,618205570,+39.8989740,-074.4763431,5,1
34,10,3410,Congressional District 10,C2,116,G5200,N,196397289,12474852,+40.7089641,-074.2090452,2,2
34,04,3404,Congressional District 4,C2,116,G5200,N,1789674324,49701555,+40.1650024,-074.3169967,3,0
34,05,3405,Congressional District 5,C2,116,G5200,N,-1726527806,83673745,+40.9738214,-075.1342110,6,2
34,07,3407,Congressional District 7,C2,116,G5200,N,-1782810953,47085986,+40.6317476,-074.7895041,6,3
34,02,3402,Congressional District 2,C2,116,G5200,N,2147483647,2034703850,+39.3932996,-074.9072568,11,0
34,09,3409,Congressional District 9,C2,116,G5200,N,246870811,19480622,+40.8607823,-074.0738236,1,3
34,11,3411,Congressional District 11,C2,116,G5200,N,1310058632,67984687,+40.9020187,-074.4505390,3,7
34,06,3406,Congressional District 6,C2,116,G5200,N,557571516,503799396,+40.3465672,-074.2150836,0,1
34,12,3412,Congressional District 12,C2,116,G5200,N,1067381022,18504392,+40.3742188,-074.5740550,2,1
32,01,3201,Congressional District 1,C2,116,G5200,N,270624142,16683,+36.1335429,-115.1515423,1,2
32,03,3203,Congressional District 3,C2,116,G5200,N,2147483647,102791046,+35.6631939,-115.1539667,6,0
32,04,3204,Congressional District 4,C2,116,G5200,N,2147483647,628524268,+38.0856467,-116.0264961,18,0
32,02,3202,Congressional District 2,C2,116,G5200,N,2147483647,1315874075,+40.6511506,-117.3296838,24,0
45,01,4501,Congressional District 1,C2,116,G5200,N,-281422444,-2098397843,+32.7140628,-080.1606245,6,0
45,03,4503,Congressional District 3,C2,116,G5200,N,2147483647,518916989,+34.3577435,-082.3312067,10,0
45,04,4504,Congressional District 4,C2,116,G5200,N,-930507530,44729109,+34.9417009,-082.1701563,5,0
45,05,4505,Congressional District 5,C2,116,G5200,N,2147483647,265732852,+34.5302283,-081.0109378,9,0
45,07,4507,Congressional District 7,C2,116,G5200,N,2147483647,958926941,+34.0834783,-079.4988485,18,0
45,02,4502,Congressional District 2,C2,116,G5200,N,2147483647,225271436,+33.6330620,-081.3792888,6,0
45,06,4506,Congressional District 6,C2,116,G5200,N,2147483647,865071998,+33.2082080,-080.5239865,14,0
53,01,5301,Congressional District 1,C2,116,G5200,N,2147483647,1097951634,+48.3674893,-121.6579122,9,1
53,03,5303,Congressional District 3,C2,116,G5200,N,2147483647,1219984100,+46.2709146,-122.2622503,15,0
38,00,3800,Congressional District (at Large),C1,116,G5200,N,2147483647,2147483647,+47.4421740,-100.4608258,89,0
56,00,5600,Congressional District (at Large),C1,116,G5200,N,2147483647,1867670745,+42.9896591,-107.5443922,41,0
69,98,6998,Delegate District (at Large),C4,116,G5200,N,472292529,2147483647,+14.9300771,+145.6425305,4,0
39,01,3901,Congressional District 1,C2,116,G5200,N,1779110527,26793491,+39.3360198,-084.3468497,3,6
39,07,3907,Congressional District 7,C2,116,G5200,N,2147483647,64567382,+40.7432753,-082.4670010,15,0
39,02,3902,Congressional District 2,C2,116,G5200,N,2147483647,77170483,+39.0188676,-083.5519463,6,0
39,14,3914,Congressional District 14,C2,116,G5200,N,2147483647,-564683811,+41.7511641,-081.0194752,10,2
39,06,3906,Congressional District 6,C2,116,G5200,N,2147483647,202816758,+39.7714087,-081.5750390,21,0
39,03,3903,Congressional District 3,C2,116,G5200,N,590732885,11274048,+39.9662072,-082.9474950,2,4
39,10,3910,Congressional District 10,C2,116,G5200,N,-1369218448,15947647,+39.7013631,-083.9586972,8,0
39,04,3904,Congressional District 4,C2,116,G5200,N,2147483647,121559316,+40.5169844,-084.5754759,20,0
39,05,3905,Congressional District 5,C2,116,G5200,N,2147483647,73249833,+41.1557510,-084.0447886,20,3
39,16,3916,Congressional District 16,C2,116,G5200,N,-1173072697,31141190,+40.9821546,-081.7406039,6,2
39,13,3913,Congressional District 13,C2,116,G5200,N,-1979679512,70792303,+41.1496303,-080.9786969,5,1
39,15,3915,Congressional District 15,C2,116,G5200,N,2147483647,99789977,+39.5778602,-082.7562053,16,0
39,11,3911,Congressional District 11,C2,116,G5200,N,633380874,1310812208,+41.6137949,-081.5277187,2,3
39,09,3909,Congressional District 9,C2,116,G5200,N,1202130654,2147483647,+41.4032532,-082.5481185,9,1
39,08,3908,Congressional District 8,C2,116,G5200,N,2147483647,42726671,+39.8995752,-084.1608314,9,2
39,12,3912,Congressional District 12,C2,116,G5200,N,2147483647,76786970,+40.2393230,-082.6136769,6,1
51,01,5101,Congressional District 1,C2,116,G5200,N,2147483647,1767438169,+37.8807201,-076.9762880,7,1
51,03,5103,Congressional District 3,C2,116,G5200,N,1619438767,406420212,+36.9137548,-076.5694796,2,3
51,10,5110,Congressional District 10,C2,116,G5200,N,-742945611,37324155,+39.0761620,-077.8559583,4,0
51,05,5105,Congressional District 5,C2,116,G5200,N,2147483647,391890253,+37.3323415,-078.7235580,13,0
51,04,5104,Congressional District 4,C2,116,G5200,N,2147483647,296483280,+36.9617490,-077.1577179,7,1
51,07,5107,Congressional District 7,C2,116,G5200,N,2147483647,144698517,+37.8201840,-077.9024081,8,5
51,02,5102,Congressional District 2,C2,116,G5200,N,-1436342724,2147483647,+37.3937297,-075.9356016,5,0
51,11,5111,Congressional District 11,C2,116,G5200,N,479342358,21326058,+38.7890600,-077.2946223,0,7
51,09,5109,Congressional District 9,C2,116,G5200,N,2147483647,153447195,+37.0008631,-081.3249946,10,0
15,01,1501,Congressional District 1,C2,116,G5200,N,541359418,456759507,+21.3226396,-157.9059542,2,0
15,02,1502,Congressional District 2,C2,116,G5200,N,2147483647,2147483647,+19.6941634,-156.0443440,12,0
26,01,2601,Congressional District 1,C2,116,G5200,N,2147483647,2147483647,+46.1573045,-086.4369120,63,0
26,07,2607,Congressional District 7,C2,116,G5200,N,2147483647,526028591,+42.0936084,-084.3049549,22,2
26,02,2602,Congressional District 2,C2,116,G5200,N,2147483647,2147483647,+43.3975406,-086.3188626,14,0
26,06,2606,Congressional District 6,C2,116,G5200,N,2147483647,-229115032,+42.1640521,-086.1560519,17,2
26,14,2614,Congressional District 14,C2,116,G5200,N,480339355,97940449,+42.5612521,-083.4387250,1,3
26,03,2603,Congressional District 3,C2,116,G5200,N,2147483647,176750939,+42.7200275,-085.2372759,10,2
26,10,2610,Congressional District 10,C2,116,G5200,N,2147483647,2147483647,+43.4559041,-082.8824074,24,0
26,05,2605,Congressional District 5,C2,116,G5200,N,2147483647,2147483647,+43.5744457,-084.1628756,12,1
26,04,2604,Congressional District 4,C2,116,G5200,N,2147483647,520053991,+43.7315525,-084.7503993,42,0
26,13,2613,Congressional District 13,C2,116,G5200,N,478918323,5374636,+42.3513749,-083.4300532,1,1
26,ZZ,26ZZ,Congressional Districts not defined,00,116,G5200,F,0,2147483647,+42.4984990,-082.8719620,0,0
26,11,2611,Congressional District 11,C2,116,G5200,N,1085687168,55726229,+42.5300018,-083.4539962,4,3
26,09,2609,Congressional District 9,C2,116,G5200,N,475771461,13240065,+42.5296604,-083.0547224,0,1
26,12,2612,Congressional District 12,C2,116,G5200,N,1044264730,71968024,+42.2053809,-083.4470432,4,2
26,08,2608,Congressional District 8,C2,116,G5200,N,-401832937,99556198,+42.6477730,-083.9453541,7,0
51,06,5106,Congressional District 6,C2,116,G5200,N,2147483647,104993717,+38.1365430,-079.1992544,10,1
51,08,5108,Congressional District 8,C2,116,G5200,N,386908080,29005304,+38.7713248,-077.1467415,1,5
53,10,5310,Congressional District 10,C2,116,G5200,N,2141821386,234826813,+47.0417220,-122.7558152,5,0
53,05,5305,Congressional District 5,C2,116,G5200,N,2147483647,598822284,+47.5732049,-117.8675495,25,0
53,04,5304,Congressional District 4,C2,116,G5200,N,2147483647,808206849,+47.2946268,-119.7071777,28,0
53,07,5307,Congressional District 7,C2,116,G5200,N,372955017,339685089,+47.5784260,-122.3913575,1,5
53,02,5302,Congressional District 2,C2,116,G5200,N,-1664654495,-1611408139,+48.3753949,-122.5976996,10,0
53,09,5309,Congressional District 9,C2,116,G5200,N,475212865,104450286,+47.4587305,-122.2584711,3,3
53,06,5306,Congressional District 6,C2,116,G5200,N,2147483647,2147483647,+47.6388582,-123.5509405,15,0
53,08,5308,Congressional District 8,C2,116,G5200,N,2147483647,370410119,+47.3623847,-121.0393849,14,1
34,08,3408,Congressional District 8,C2,116,G5200,N,141495250,38082761,+40.7239266,-074.1064956,0,1
08,01,0801,Congressional District 1,C2,116,G5200,N,491646356,7076638,+39.7322859,-104.9087582,1,1
08,03,0803,Congressional District 3,C2,116,G5200,N,2147483647,388259104,+38.7432544,-107.3448493,36,0
08,05,0805,Congressional District 5,C2,116,G5200,N,2147483647,61234902,+38.8154076,-105.3441513,6,0
08,04,0804,Congressional District 4,C2,116,G5200,N,2147483647,438848484,+39.0706831,-103.4138530,24,5
08,07,0807,Congressional District 7,C2,116,G5200,N,876592983,27439545,+39.8266706,-105.0408542,1,0
08,02,0802,Congressional District 2,C2,116,G5200,N,2147483647,236595196,+40.1370840,-105.7090836,4,2
08,06,0806,Congressional District 6,C2,116,G5200,N,1227600079,22167724,+39.7550881,-104.7653511,2,2
24,01,2401,Congressional District 1,C2,116,G5200,N,2147483647,-259164428,+38.7684710,-075.9588863,13,0
24,03,2403,Congressional District 3,C2,116,G5200,N,788544340,252344417,+39.1571515,-076.6766922,3,0
24,04,2404,Congressional District 4,C2,116,G5200,N,771403497,48178407,+38.7560928,-077.0260243,2,0
24,05,2405,Congressional District 5,C2,116,G5200,N,-454870941,2066469028,+38.4718173,-076.7120357,5,0
24,07,2407,Congressional District 7,C2,116,G5200,N,1264524922,14715020,+39.3407655,-077.1858835,0,0
