X,Y,FID,VENUEID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,NAME2,NAME3,FORMER,YEAR
-95.261307536817895,29.923473495968626,1,262,GOLF CLUB OF HOUSTON,5860 WILSON ROAD,NOT AVAILABLE,HUMBLE,TX,77396,NOT AVAILABLE,(281) 459-7809,SINGLE USE,OPEN,-999,HARRIS,48201,USA,29.923473496,-95.261307537,713910,GOLF COURSES AND COUNTRY CLUBS,http://www.golfclubofhouston.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999
-104.962601931035991,39.643052337173458,2,263,CHERRY HILLS COUNTRY CLUB,4125 SOUTH UNIVERSITY BOULEVARD,NOT AVAILABLE,ENGLEWOOD,CO,80113,NOT AVAILABLE,(303) 350-5200,SINGLE USE,OPEN,-999,ARAPAHOE,08005,USA,39.643052337,-104.962601931,713910,GOLF COURSES AND COUNTRY CLUBS,http://www.chcc.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,REDSTONE GOLF CLUB,2013
-97.372794723158847,32.717050022938935,3,264,COLONIAL COUNTRY CLUB,3735 COUNTRY CLUB CIRCLE,NOT AVAILABLE,FORT WORTH,TX,76109,NOT AVAILABLE,(817) 927-4200,SINGLE USE,OPEN,-999,TARRANT,48439,USA,32.717050023,-97.372794723,713910,GOLF COURSES AND COUNTRY CLUBS,https://www.colonialfw.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999
-96.958373921632997,32.862401280209141,4,265,TOURNAMENT PLAYERS CLUB AT FOUR SEASONS RESORT LAS COLINAS,4150 NORTH MACARTHUR BOULEVARD,NOT AVAILABLE,IRVING,TX,75038,NOT AVAILABLE,(972) 717-0700,SINGLE USE,OPEN,-999,DALLAS,48113,USA,32.86240128,-96.958373922,713910,GOLF COURSES AND COUNTRY CLUBS,http://www.tpc.com/tpc-four-seasons-las-colinas,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999
-89.779294230331629,35.057206528816856,5,266,TOURNAMENT PLAYERS CLUB SOUTHWIND,3325 CLUB AT SOUTHWIND,NOT AVAILABLE,MEMPHIS,TN,38125,NOT AVAILABLE,(901) 748-0534,SINGLE USE,OPEN,-999,SHELBY,47157,USA,35.057206529,-89.77929423,713910,GOLF COURSES AND COUNTRY CLUBS,http://www.tpc.com/southwind/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999
-90.392269855837469,41.477346591172505,6,267,TOURNAMENT PLAYERS CLUB AT DEERE RUN,3100 HEATHER KNOLL,NOT AVAILABLE,SILVIS,IL,61282,NOT AVAILABLE,(309) 796-6000,SINGLE USE,OPEN,-999,ROCK ISLAND,17161,USA,41.477346591,-90.392269856,713910,GOLF COURSES AND COUNTRY CLUBS,http://www.tpc.com/tpc-deere-run,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999
-83.141133387750301,40.140493555244895,7,268,MUIRFIELD VILLAGE GOLF CLUB,5750 MEMORIAL DRIVE,NOT AVAILABLE,DUBLIN,OH,43017,NOT AVAILABLE,(614) 889-6700,SINGLE USE,OPEN,-999,FRANKLIN,39049,USA,40.140493555,-83.141133388,713910,GOLF COURSES AND COUNTRY CLUBS,http://www.mvgc.org/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999
-85.472007186677871,38.242593725289986,8,269,VALHALLA GOLF CLUB,15503 SHELBYVILLE ROAD,NOT AVAILABLE,LOUISVILLE,KY,40243,NOT AVAILABLE,(502) 245-4475,SINGLE USE,OPEN,-999,JEFFERSON,21111,USA,38.242593725,-85.472007187,713910,GOLF COURSES AND COUNTRY CLUBS,http://valhalla.pgalinks.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999
-81.507862381888074,41.007871522783574,9,270,FIRESTONE COUNTRY CLUB,452 E WARNER RD,NOT AVAILABLE,AKRON,OH,44319,NOT AVAILABLE,(330) 644-8441,SINGLE USE,OPEN,-999,SUMMIT,39153,USA,41.007871523,-81.507862382,713910,GOLF COURSES AND COUNTRY CLUBS,http://www.clubcorp.com/Clubs/Firestone-Country-Club,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999
-80.314242115094444,37.786977890746101,10,271,GREENBRIAR GOLF CLUB,300 WEST MAIN STREET,NOT AVAILABLE,WHITE SULPHUR SPRINGS,WV,24986,NOT AVAILABLE,(304) 536-1110,SINGLE USE,OPEN,-999,GREENBRIER,54025,USA,37.786977891,-80.314242115,713910,GOLF COURSES AND COUNTRY CLUBS,http://www.greenbrier.com/golf/the-golf-club.aspx,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999
